날짜,강동구,Car registration
2016-01-04,136210.0,3083007.0
2016-01-05,136210.0,3083007.0
2016-01-06,136210.0,3083007.0
2016-01-07,136210.0,3083007.0
2016-01-08,136210.0,3083007.0
2016-01-09,136210.0,3083007.0
2016-01-10,136210.0,3083007.0
2016-01-11,136210.0,3083007.0
2016-01-12,136210.0,3083007.0
2016-01-13,136210.0,3083007.0
2016-01-14,136210.0,3083007.0
2016-01-15,136210.0,3083007.0
2016-01-16,136210.0,3083007.0
2016-01-17,136210.0,3083007.0
2016-01-18,136210.0,3083007.0
2016-01-19,136210.0,3083007.0
2016-01-20,136210.0,3083007.0
2016-01-21,136210.0,3083007.0
2016-01-22,136210.0,3083007.0
2016-01-23,136210.0,3083007.0
2016-01-24,136210.0,3083007.0
2016-01-25,136210.0,3083007.0
2016-01-26,136210.0,3083007.0
2016-01-27,136210.0,3083007.0
2016-01-28,136210.0,3083007.0
2016-01-29,136210.0,3083007.0
2016-01-30,136210.0,3083007.0
2016-01-31,136210.0,3083007.0
2016-02-01,136210.0,3083007.0
2016-02-02,136210.0,3083007.0
2016-02-03,136210.0,3083007.0
2016-02-04,136210.0,3083007.0
2016-02-05,136210.0,3083007.0
2016-02-06,136210.0,3083007.0
2016-02-07,136210.0,3083007.0
2016-02-08,136210.0,3083007.0
2016-02-09,136210.0,3083007.0
2016-02-10,136210.0,3083007.0
2016-02-11,136210.0,3083007.0
2016-02-12,136210.0,3083007.0
2016-02-13,136210.0,3083007.0
2016-02-14,136210.0,3083007.0
2016-02-15,136210.0,3083007.0
2016-02-16,136210.0,3083007.0
2016-02-17,136210.0,3083007.0
2016-02-18,136210.0,3083007.0
2016-02-19,136210.0,3083007.0
2016-02-20,136210.0,3083007.0
2016-02-21,136210.0,3083007.0
2016-02-22,136210.0,3083007.0
2016-02-23,136210.0,3083007.0
2016-02-24,136210.0,3083007.0
2016-02-25,136210.0,3083007.0
2016-02-26,136210.0,3083007.0
2016-02-27,136210.0,3083007.0
2016-02-28,136210.0,3083007.0
2016-02-29,136210.0,3083007.0
