Date,GDP,Economic growth rate
2016-02-02,413495,2.8
2016-02-03,413495,2.8
2016-02-04,413495,2.8
2016-02-05,413495,2.8
2016-02-06,413495,2.8
2016-02-07,413495,2.8
2016-02-08,413495,2.8
2016-02-09,413495,2.8
2016-02-10,413495,2.8
2016-02-11,413495,2.8
2016-02-12,413495,2.8
2016-02-13,413495,2.8
2016-02-14,413495,2.8
2016-02-15,413495,2.8
2016-02-16,413495,2.8
2016-02-17,413495,2.8
2016-02-18,413495,2.8
2016-02-19,413495,2.8
2016-02-20,413495,2.8
2016-02-21,413495,2.8
2016-02-22,413495,2.8
2016-02-23,413495,2.8
2016-02-24,413495,2.8
2016-02-25,413495,2.8
2016-02-26,413495,2.8
2016-02-27,413495,2.8
2016-02-28,413495,2.8
2016-02-29,413495,2.8
2016-03-01,413495,2.8
2016-03-02,413495,2.8
2016-03-03,413495,2.8
2016-03-04,413495,2.8
2016-03-05,413495,2.8
2016-03-06,413495,2.8
2016-03-07,413495,2.8
2016-03-08,413495,2.8
2016-03-09,413495,2.8
2016-03-10,413495,2.8
2016-03-11,413495,2.8
2016-03-12,413495,2.8
2016-03-13,413495,2.8
2016-03-14,413495,2.8
2016-03-15,413495,2.8
2016-03-16,413495,2.8
2016-03-17,413495,2.8
2016-03-18,413495,2.8
2016-03-19,413495,2.8
2016-03-20,413495,2.8
2016-03-21,413495,2.8
2016-03-22,413495,2.8
2016-03-23,413495,2.8
2016-03-24,413495,2.8
2016-03-25,413495,2.8
2016-03-26,413495,2.8
2016-03-27,413495,2.8
2016-03-28,413495,2.8
2016-03-29,413495,2.8
2016-03-30,413495,2.8
2016-03-31,413495,2.8
2016-04-01,434536,3.6
2016-04-02,434536,3.6
2016-04-03,434536,3.6
2016-04-04,434536,3.6
2016-04-05,434536,3.6
2016-04-06,434536,3.6
2016-04-07,434536,3.6
2016-04-08,434536,3.6
2016-04-09,434536,3.6
2016-04-10,434536,3.6
2016-04-11,434536,3.6
2016-04-12,434536,3.6
2016-04-13,434536,3.6
2016-04-14,434536,3.6
2016-04-15,434536,3.6
2016-04-16,434536,3.6
2016-04-17,434536,3.6
2016-04-18,434536,3.6
2016-04-19,434536,3.6
2016-04-20,434536,3.6
2016-04-21,434536,3.6
2016-04-22,434536,3.6
2016-04-23,434536,3.6
2016-04-24,434536,3.6
2016-04-25,434536,3.6
2016-04-26,434536,3.6
2016-04-27,434536,3.6
2016-04-28,434536,3.6
2016-04-29,434536,3.6
2016-04-30,434536,3.6
2016-05-01,434536,3.6
2016-05-02,434536,3.6
2016-05-03,434536,3.6
2016-05-04,434536,3.6
2016-05-05,434536,3.6
2016-05-06,434536,3.6
2016-05-07,434536,3.6
2016-05-08,434536,3.6
2016-05-09,434536,3.6
2016-05-10,434536,3.6
2016-05-11,434536,3.6
