date,Export amount,Export growth rate,Import amount,Import growth rate
2015-05-30,"42,327,311",-11.0,"36,039,800",-15.4
2015-05-31,"42,327,311",-11.0,"36,039,800",-15.4
2015-06-01,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-02,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-03,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-04,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-05,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-06,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-07,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-08,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-09,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-10,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-11,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-12,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-13,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-14,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-15,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-16,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-17,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-18,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-19,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-20,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-21,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-22,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-23,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-24,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-25,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-26,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-27,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-28,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-29,"46,554,512",-2.7,"36,598,398",-13.8
2015-06-30,"46,554,512",-2.7,"36,598,398",-13.8
2015-07-01,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-02,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-03,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-04,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-05,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-06,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-07,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-08,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-09,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-10,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-11,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-12,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-13,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-14,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-15,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-16,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-17,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-18,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-19,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-20,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-21,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-22,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-23,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-24,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-25,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-26,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-27,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-28,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-29,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-30,"45,695,747",-5.2,"38,647,067",-15.7
2015-07-31,"45,695,747",-5.2,"38,647,067",-15.7
2015-08-01,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-02,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-03,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-04,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-05,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-06,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-07,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-08,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-09,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-10,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-11,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-12,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-13,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-14,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-15,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-16,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-17,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-18,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-19,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-20,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-21,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-22,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-23,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-24,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-25,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-26,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-27,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-28,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-29,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-30,"39,107,399",-15.2,"34,772,163",-18.7
2015-08-31,"39,107,399",-15.2,"34,772,163",-18.7
2015-09-01,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-02,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-03,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-04,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-05,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-06,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-07,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-08,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-09,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-10,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-11,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-12,"43,432,312",-8.5,"34,540,504",-21.8
